Column_Name,Keyword,English_Translation
Keyword_1,رواتب,Salaries
Keyword_2,عمل مياومة,Day Labor
Keyword_3,Resume,Resume
Keyword_4,عمل من المنزل,Work from Home
Keyword_5,عملي,My Work
Keyword_6,عمل للمرأة,Jobs for Women
Keyword_7,عمل,Work
Keyword_8,بدور على شغل,Looking for a Job
Keyword_9,بدي شغل,I Need a Job
Keyword_10,وظيفة,Job
Keyword_11,شغل,Work
Keyword_12,مصاري,Money
Keyword_13,ضمان اجتماعي,Social Security
Keyword_14,من وين نجيب,Where Do We Get
Keyword_15,عامل,Worker
Keyword_16,وظيفتي,My Job
Keyword_17,ظايل نسرق,Should We Steal
Keyword_18,شغلي,My Work
Keyword_19,تسريح,Layoff
Keyword_20,ضرائب,Taxes
Keyword_21,تعسفي,Arbitrary
Keyword_22,اقتطاع,Deduction
Keyword_23,موارد بشرية,Human Resources
Keyword_24,بيت.كوم,Bayt.com
Keyword_25,اجر,Wage
Keyword_26,اجور,Wages
Keyword_27,راتب,Salary
Keyword_28,Unemployment,Unemployment
Keyword_29,employment,Employment
Keyword_30,employee,Employee
Keyword_31,fired,Fired
Keyword_32,employer,Employer
Keyword_33,understanding,Understanding
Keyword_34,payment,Payment
Keyword_35,i work,I Work
Keyword_36,income,Income
Keyword_37,bonus,Bonus
Keyword_38,per diem,Per Diem
Keyword_39,deduction,Deduction
Keyword_40,taxes,Taxes
Keyword_41,spending,Spending
Keyword_42,hr,HR
Keyword_43,bayt.com,Bayt.com
Keyword_44,akhtaboot,Akhtaboot
Keyword_45,human resources,Human Resources
Keyword_46,cv,CV
Keyword_47,مياومة,Day Labor
Keyword_48,بطالة,Unemployment
Keyword_49,unemployed,Unemployed
Keyword_50,ساعدوني بشغل,Help Me Find Work
Keyword_51,بدل تعطل,Unemployment Benefit
Keyword_52,كسب سريع,Quick Gain
Keyword_53,كسب حلال,Legitimate Earning
Keyword_54,انفاق,Spending
Keyword_55,حسم,Deduction
Keyword_56,اخطبوط,Akhtaboot
Keyword_57,موقع بيت للوظائف,Bayt.com Jobs Website
Keyword_58,Work,Work
Keyword_59,salary,Salary
Keyword_60,job,Job
Keyword_61,boss,Boss
Keyword_62,job hunting,Job Hunting
Keyword_63,ضريبة,Tax
Keyword_64,شغلونا,Employ Us
Keyword_65,فلوس,Money
Keyword_66,مقطوع,Cut Off
Keyword_67,بدي أشتغل,I Want to Work
Keyword_68,تدريب,Training
Keyword_69,متدرب,Trainee
Keyword_70,مش عيشة,Not a Life
Keyword_71,مفلس,Broke
