Quarter,Unemp_dos %
2010-1,12.4
2010-2,12.2
2010-3,13.5
2010-4,11.8
2011-1,13.1
2011-2,13.2
2011-3,13.1
2011-4,12.1
2012-1,11.4
2012-2,11.6
2012-3,13.1
2012-4,12.5
2013-1,12.8
2013-2,12.6
2013-3,14
2013-4,11
2014-1,11.8
2014-2,12
2014-3,11.4
2014-4,12.3
2015-1,13
2015-2,11.9
2015-3,13.8
2015-4,13.6
2016-1,14.6
2016-2,14.8
2016-3,15.8
2016-4,15.8
2017-1,18.2
2017-2,18
2017-3,18.5
2017-4,18.5
2018-1,18.4
2018-2,18.7
2018-3,18.6
2018-4,18.7
2019-1,19
2019-2,19.2
2019-3,19.1
2019-4,19
2020-1,19.3
2020-2,23
2020-3,23.9
2020-4,24.5
2021-1,25.1
2021-2,24.8
2021-3,23.2
2021-4,23.3
2022-1,22.8
2022-2,22.6
2022-3,23.1
2022-4,22.8
2023-1,22.6
2023-2,22.4
2023-3,22.3
2023-4,21.4
2024-1,21.4
2024-2,21.4
2024-3,21.5
2024-4,21.4
2025-1,21.3
2025-2,21.3
2025-3,21.4
2025-4,21.2
2026-1,21.1
